Image,Width(pixels),Height(pixels),Height_Width_Ratio,name,locality,number,specimens_number,Longtitude_convert,Latitude_convert,notes
novaehollandiae_dorrigo_c.128360_01.jpg,4862,3575,0.735294118,novaehollandiae,dorrigo,C.128360,1,152.7394444,-30.38916667,
novaehollandiae_dorrigo_c.158011_01.jpg,5258,3498,0.665271967,novaehollandiae,dorrigo,C.158011,1,152.795,-30.36333333,
novaehollandiae_dorrigo_c.158020_01.jpg,4352,3856,0.886029412,novaehollandiae,dorrigo,C.158020,1,152.7241667,-30.37305556,
novaehollandiae_dorrigo_c.158022_01.jpg,3553,3438,0.967632986,novaehollandiae,dorrigo,C.158022,1,152.725,-30.375,
novaehollandiae_dorrigo_c.172710_01.jpg,4912,3952,0.804560261,novaehollandiae,dorrigo,C.172710,1,152.745,-30.39333333,
novaehollandiae_dorrigo_c.172710_02.jpg,4631,3641,0.786223278,novaehollandiae,dorrigo,C.172710,2,152.745,-30.39333333,
novaehollandiae_dorrigo_c.172710_03.jpg,4704,3488,0.741496599,novaehollandiae,dorrigo,C.172710,3,152.745,-30.39333333,
novaehollandiae_dorrigo_c.320785_01.jpg,3575,3949,1.104615385,novaehollandiae,dorrigo,C.320785,1,152.4077778,-30.48972222,
novaehollandiae_dorrigo_c.347159_01.jpg,4362,3195,0.732462173,novaehollandiae,dorrigo,C.347159,1,152.4266667,-30.09305556,
novaehollandiae_dorrigo_c.348947_01.jpg,4816,4176,0.867109635,novaehollandiae,dorrigo,C.348947,1,152.7241667,-30.37305556,
novaehollandiae_dungog_c.105162_01.jpg,5247,3729,0.710691824,novaehollandiae,dungog,C.105162,1,151.4,-32.033333,
novaehollandiae_dungog_c.112168_01.jpg,4493,3487,0.77609615,novaehollandiae,dungog,C.112168,1,151.3666667,-32.16666667,
novaehollandiae_dungog_c.112172_01.jpg,4272,2804,0.656367041,novaehollandiae,dungog,C.112172,1,151.7516667,-32.25666667,
novaehollandiae_dungog_c.112184_01.jpg,4147,3042,0.73354232,novaehollandiae,dungog,C.112184,1,151.7516667,-32.25666667,
novaehollandiae_dungog_c.158010_01.jpg,4378,3806,0.869346734,novaehollandiae,dungog,C.158010,1,151.4266667,-32.11166667,
novaehollandiae_dungog_c.158014_01.jpg,4160,3752,0.901923077,novaehollandiae,dungog,C.158014,1,151.5216667,-32.15305556,
novaehollandiae_dungog_c.158015_01.jpg,5368,3993,0.743852459,novaehollandiae,dungog,C.158015,1,151.4683333,-32.12916667,
novaehollandiae_dungog_c.348949_01.jpg,4191,3597,0.858267717,novaehollandiae,dungog,C.348949,1,151.4697222,-32.12833333,
novaehollandiae_forster_c.104898_01.jpg,4192,4000,0.954198473,novaehollandiae,forster,C.104898,1,152.45,-32.32666667,
novaehollandiae_forster_c.488779_01.jpg,4829,3949,0.817767654,novaehollandiae,forster,C.488779,1,152.4466667,-32.34277778,
novaehollandiae_gibraltar_c.131450_01.jpg,5654,4136,0.73151751,novaehollandiae,gibraltar,C.131450,1,152.3333333,-29.53333333,
novaehollandiae_gibraltar_c.589238_01.jpg,4552,3880,0.852372583,novaehollandiae,gibraltar,C.589238,1,152.2311111,-29.55305556,
novaehollandiae_gloucester_c.112182_01.jpg,6026,4255,0.70610687,novaehollandiae,gloucester,C.112182,1,151.5916667,-32.09166667,
novaehollandiae_kempsey_c.081396_01.jpg,4279,2915,0.681233933,novaehollandiae,kempsey,C.081396,1,152.6886111,-31.095,
novaehollandiae_kempsey_c.102866_01.jpg,5192,3564,0.686440678,novaehollandiae,kempsey,C.102866,1,152.4083333,-31.16666667,
novaehollandiae_kempsey_c.102866_02.jpg,4944,4128,0.834951456,novaehollandiae,kempsey,C.102866,2,152.4083333,-31.16666667,
novaehollandiae_kempsey_c.121699_01.jpg,3399,3075,0.904677846,novaehollandiae,kempsey,C.121699,1,152.3333333,-31.01666667,
novaehollandiae_kempsey_c.158006_01.jpg,3690,3108,0.842276423,novaehollandiae,kempsey,C.158006,1,152.9783333,-30.82138889,
novaehollandiae_kempsey_c.158009_01.jpg,3992,3504,0.877755511,novaehollandiae,kempsey,C.158009,1,152.9783333,-30.82138889,
novaehollandiae_kempsey_c.158023_01.jpg,3768,2944,0.781316348,novaehollandiae,kempsey,C.158023,1,152.7783333,-30.88138889,
novaehollandiae_lower-bellinger_c.033230_01.jpg,4345,3740,0.860759494,novaehollandiae,lower-bellinger,C.033230,1,152.5,-30.43638889,
novaehollandiae_lower-bellinger_c.033230_02.jpg,4032,3872,0.96031746,novaehollandiae,lower-bellinger,C.033230,2,152.5,-30.43638889,
novaehollandiae_lower-bellinger_c.320635_01.jpg,5088,4176,0.820754717,novaehollandiae,lower-bellinger,C.320635,1,152.5,-30.43638889,
novaehollandiae_macksville_c.158021_01.jpg,4774,4213,0.882488479,novaehollandiae,macksville,C.158021,1,152.9491667,-30.78666667,
