Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
novaehollandiae,MO67297,152.719167,-30.429444,QM,
richmondiana,MO37628,153.166667,-27.916667,QM,
novaehollandiae,MO12713,152.416667,-28.333333,QM,
richmondiana,MO5755,153.166667,-27.916667,QM,
darlingtoni,MO30201,153.133333,-28.233333,QM,
richmondiana,MO25947,153.2,-28.25,QM,
darlingtoni,MO77030,153.1425,-28.248333,QM,
novaehollandiae,MO36992,152.255278,-30.9075,QM,
novaehollandiae,MO33065,152.566667,-30.366667,QM,
richmondiana,MO29051,153.216667,-27.933333,QM,
novaehollandiae,MO36956,152.477778,-31.209722,QM,
richmondiana,MO62739,153.133333,-28.233333,QM,
richmondiana,MO5746,153.2,-28.216667,QM,
novaehollandiae,MO38758,152.948611,-30.7875,QM,
mitchellae,MO72150,153.5702325,-28.2593687,QM,
richmondiana,MO20843,153.166667,-27.933333,QM,
mitchellae,MO66959,153.610833,-28.663889,QM,
richmondiana,MO16416,152.766667,-27.333333,QM,
mitchellae,MO66944,153.607778,-28.669722,QM,
richmondiana,MO79602,153.137778,-28.150833,QM,
novaehollandiae,MO49383,152.393333,-30.958333,QM,
novaehollandiae,MO31435,152.928333,-31.465,QM,
richmondiana,MO79635,153.140833,-28.24,QM,
mitchellae,MO85860,153.61,-28.65,QM,
mitchellae,MO66958,153.604167,-28.6725,QM,
mitchellae,MO66949,153.610833,-28.663889,QM,
richmondiana,MO79679,153.120833,-28.187778,QM,
mitchellae,MO10526,153.5,-28.266667,QM,
mitchellae,MO66947,153.610833,-28.666111,QM,
richmondiana,MO12733,153.266667,-28.4,QM,
mitchellae,MO63809,153.549167,-28.219444,QM,
richmondiana,MO55300,153.2,-27.933333,QM,
richmondiana,MO42207,153.545556,-28.532778,QM,
richmondiana,MO8110,152.616667,-26.7,QM,
richmondiana,MO23316,153.216667,-28.234722,QM,
novaehollandiae,MO37049,152.352222,-30.985,QM,
richmondiana,MO25972,153.216667,-28.233333,QM,
darlingtoni,MO59846,153.066667,-28.383333,QM,
novaehollandiae,MO20271,152.001389,-30.275,QM,
mitchellae,MO72994,153.3891255,-28.4560363,QM,
